elapsed_seconds,error_code
5,error_34
6,error_10
33,error_10
35,error_10
42,error_10
42,error_75
43,error_10
43,error_68
44,error_10
46,error_10
53,error_10
53,error_75
58,error_10
63,error_10
72,error_30
79,error_74
81,error_75
93,error_52
97,error_74
121,error_70
128,error_3
131,error_71
133,error_3
136,error_3
136,error_23
138,error_87
141,error_49
142,error_71
143,error_1
157,error_3
171,error_74
176,error_49
186,error_37
190,error_3
193,error_3
194,error_87
197,error_49
210,error_3
212,error_90
215,error_16
216,error_82
218,error_3
220,error_3
223,error_71
225,error_3
226,error_10
236,error_1
255,error_1
255,error_70
272,error_71
279,error_49
281,error_3
282,error_49
283,error_71
285,error_49
