elapsed_seconds,error_code
30,error_70
30,error_10
32,error_70
44,error_3
47,error_3
67,error_30
67,error_10
67,error_75
68,error_75
68,error_30
71,error_10
72,error_34
74,error_75
75,error_74
85,error_75
87,error_10
88,error_10
94,error_30
99,error_10
103,error_75
130,error_34
134,error_3
143,error_68
144,error_3
156,error_10
167,error_10
179,error_3
182,error_68
193,error_10
195,error_16
206,error_75
207,error_52
208,error_10
214,error_3
214,error_3
215,error_3
216,error_3
218,error_3
220,error_49
220,error_3
220,error_49
223,error_87
223,error_87
228,error_74
229,error_71
237,error_71
238,error_37
239,error_71
263,error_82
266,error_10
268,error_3
275,error_3
277,error_3
279,error_3
280,error_3
284,error_3
287,error_3
296,error_3
299,error_87
