elapsed_seconds,error_code
10,error_49
16,error_70
20,error_49
23,error_49
24,error_34
28,error_10
32,error_70
33,error_70
37,error_74
42,error_74
48,error_10
52,error_10
62,error_75
70,error_71
72,error_34
83,error_30
83,error_10
90,error_52
93,error_71
106,error_3
122,error_82
128,error_70
135,error_87
166,error_35
167,error_35
170,error_10
172,error_34
208,error_3
209,error_3
209,error_3
212,error_3
213,error_23
217,error_1
222,error_37
224,error_3
233,error_49
235,error_49
245,error_49
249,error_68
253,error_90
254,error_49
260,error_71
269,error_49
271,error_74
272,error_71
288,error_71
290,error_1
