elapsed_seconds,unique_branches
5.0,141
10.0,163
15.1,163
20.3,163
29.9,163
35.0,163
40.0,163
45.0,163
55.1,163
60.1,163
65.2,163
70.2,163
75.3,163
80.3,163
85.4,163
90.4,163
95.4,179
100.4,183
106.3,183
111.4,183
116.4,183
121.5,183
126.6,183
131.6,183
136.6,183
141.6,183
146.6,191
151.8,191
161.7,191
166.7,191
171.8,191
176.8,191
181.8,191
193.6,201
198.6,201
203.6,201
208.6,201
213.7,201
218.7,201
228.2,201
233.2,201
238.2,201
243.4,201
248.4,201
253.4,209
263.0,209
268.1,209
273.2,209
278.2,209
283.3,209
288.3,209
293.3,209
299.9,209
300.0,209
