elapsed_seconds,unique_branches
5.1,170
10.1,197
15.6,197
20.8,197
25.8,197
30.8,208
40.0,210
45.2,233
50.2,244
55.3,244
60.4,272
65.4,277
70.5,296
75.5,296
82.7,307
87.9,308
92.9,309
100.2,309
105.2,321
110.2,326
117.0,326
122.1,326
127.1,326
132.2,330
138.1,330
143.2,332
148.2,332
153.2,333
158.3,333
163.4,333
168.4,333
173.5,333
179.7,333
184.8,333
189.8,333
194.8,333
203.6,333
208.6,333
213.7,333
218.7,333
227.3,333
232.4,333
237.4,333
242.5,333
247.5,333
252.5,333
257.5,335
262.6,335
267.7,335
275.8,335
280.9,335
285.9,335
291.0,335
296.4,335
300.8,335
