elapsed_seconds,unique_branches
5.1,254
10.1,305
15.1,323
20.3,351
25.5,356
34.3,370
39.3,421
44.4,470
49.5,474
54.5,494
59.6,501
68.4,501
73.5,533
78.5,562
83.6,580
88.6,580
94.9,580
100.0,580
105.0,590
110.1,590
115.2,604
120.2,604
125.5,604
130.5,613
135.7,613
140.7,621
145.8,665
154.8,669
159.8,684
164.9,709
169.9,734
175.0,744
180.0,761
185.2,815
193.9,820
199.1,839
204.2,841
209.2,841
214.3,842
219.4,842
224.4,842
229.5,846
235.8,846
240.8,846
245.9,846
250.9,846
256.0,862
261.0,862
266.1,875
271.1,883
281.3,906
286.4,945
291.4,951
296.5,957
300.0,958
