elapsed_seconds,error_code
0.1,error_35
0.1,error_78
0.2,error_2
0.2,error_69
0.2,error_19
0.2,error_53
0.3,error_66
0.4,error_0
0.4,error_96
0.4,error_31
0.6,error_86
0.6,error_61
1.1,error_85
1.3,error_99
1.4,error_95
1.6,error_23
1.9,error_11
2.2,error_97
3.6,error_25
4.2,error_56
4.4,error_76
4.5,error_22
8.4,error_79
9.0,error_37
12.2,error_46
12.4,error_50
13.7,error_51
15.8,error_12
16.3,error_63
23.0,error_72
