elapsed_seconds,error_code
0.1,error_74
0.3,error_60
0.4,error_48
0.4,error_62
0.5,error_95
0.6,error_82
0.8,error_0
0.8,error_91
1.0,error_9
1.2,error_94
1.2,error_75
1.3,error_93
4.9,error_24
6.5,error_52
6.9,error_42
8.1,error_26
10.3,error_39
90.3,error_13
