elapsed_seconds,error_code
6.14,error_62
10.35,error_60
25.12,error_62
29.99,error_62
35.86,error_0
43.16,error_74
45.18,error_95
50.06,error_95
62.96,error_74
70.24,error_48
80.50,error_93
81.90,error_74
99.36,error_74
101.52,error_75
103.00,error_75
120.98,error_60
121.45,error_93
122.77,error_93
124.60,error_91
126.37,error_82
126.90,error_9
147.85,error_42
150.40,error_74
155.02,error_60
155.43,error_94
181.55,error_48
185.65,error_93
190.11,error_26
194.78,error_39
196.77,error_42
199.89,error_24
201.82,error_26
208.68,error_93
212.09,error_52
214.38,error_24
218.99,error_42
221.61,error_39
230.93,error_48
247.12,error_48
278.62,error_60
