elapsed_seconds,error_code
25,error_34
44,error_71
55,error_71
59,error_34
61,error_34
62,error_34
64,error_10
65,error_75
68,error_34
108,error_3
114,error_30
116,error_34
118,error_75
127,error_10
130,error_30
140,error_34
143,error_10
151,error_75
157,error_30
162,error_71
169,error_16
173,error_75
181,error_10
186,error_68
207,error_71
208,error_49
211,error_34
214,error_30
214,error_74
215,error_71
241,error_82
253,error_3
258,error_3
273,error_10
274,error_75
275,error_68
276,error_90
277,error_49
278,error_74
280,error_10
295,error_10
299,error_49
