elapsed_seconds,error_code
32.0,error_33
60.8,error_8
69.3,error_38
76.7,error_25
80.5,error_94
81.4,error_28
92.5,error_27
121.8,error_95
151.0,error_49
155.5,error_60
195.6,error_82
210.7,error_80
223.0,error_4
233.6,error_71
284.9,error_20
