elapsed_seconds,unique_branches
5.0,373
10.0,386
15.0,390
20.0,390
25.0,390
30.0,390
35.0,390
40.0,391
45.0,395
50.0,395
55.0,395
60.0,396
65.0,397
70.0,397
75.0,397
80.0,397
85.0,397
90.0,397
95.0,399
100.0,400
105.0,400
110.0,400
115.1,400
120.1,400
125.1,400
130.1,400
135.1,400
140.1,403
145.1,403
150.1,403
155.1,403
160.1,403
165.1,403
170.1,403
175.1,403
180.1,403
185.1,403
190.1,403
195.1,403
200.1,403
205.1,403
210.1,403
215.1,403
220.1,403
225.1,403
230.1,403
235.1,403
240.1,403
245.1,403
250.1,403
255.1,403
260.1,403
265.1,403
270.1,403
275.1,403
280.1,403
285.1,403
290.1,403
295.1,403
300.0,403
