elapsed_seconds,unique_branches
5.0,823
10.0,981
15.0,1062
20.0,1116
25.0,1161
30.0,1186
35.0,1223
40.0,1276
45.0,1315
50.0,1350
55.0,1370
60.0,1380
65.0,1440
70.0,1467
75.0,1489
80.0,1508
85.0,1530
90.0,1544
95.0,1563
100.0,1586
105.0,1593
110.1,1607
115.1,1632
120.1,1652
125.1,1677
130.1,1681
135.1,1686
140.1,1690
145.1,1692
150.1,1701
155.1,1718
160.1,1724
165.1,1724
170.1,1731
175.1,1732
180.1,1746
185.1,1747
190.1,1754
195.1,1756
200.1,1758
205.1,1766
210.1,1767
215.1,1773
220.1,1774
225.1,1778
230.1,1779
235.1,1784
240.1,1786
245.1,1787
250.1,1788
255.1,1792
260.1,1795
265.1,1802
270.1,1807
275.1,1810
280.1,1810
285.1,1816
290.1,1817
295.1,1828
300.0,1833
