elapsed_seconds,unique_branches
5.0,1016
10.0,1151
15.0,1299
20.0,1405
25.0,1449
30.0,1516
35.0,1575
40.0,1611
45.0,1660
50.0,1696
55.0,1737
60.0,1767
65.0,1774
70.0,1790
75.0,1810
80.0,1833
85.0,1865
90.0,1909
95.0,1917
100.0,1917
105.0,1937
110.0,1957
115.0,1970
120.0,1981
125.0,1989
130.0,2003
135.0,2010
140.0,2023
145.0,2041
150.0,2056
155.0,2082
160.1,2099
165.1,2115
170.1,2138
175.1,2149
180.1,2158
185.1,2158
190.1,2164
195.1,2164
200.1,2171
205.1,2181
210.1,2186
215.1,2210
220.1,2221
225.1,2227
230.1,2230
235.1,2235
240.1,2246
245.1,2253
250.1,2258
255.1,2290
260.1,2307
265.1,2307
270.1,2320
275.1,2321
280.1,2330
285.1,2350
290.1,2358
295.1,2358
300.0,2370
