elapsed_seconds,unique_branches
5.0,615
10.0,910
15.0,1044
20.0,1085
25.0,1211
30.0,1328
35.0,1338
40.0,1443
45.1,1537
50.1,1587
55.1,1591
60.1,1614
65.1,1644
70.1,1684
75.1,1746
80.1,1772
85.1,1783
90.1,1800
95.1,1835
100.1,1893
105.1,1904
110.1,1944
115.1,1949
120.1,1986
125.2,1986
130.2,2020
135.2,2021
140.2,2035
145.2,2035
150.2,2035
155.2,2040
160.2,2062
165.2,2071
170.2,2072
175.2,2072
180.2,2088
185.2,2090
190.2,2112
195.3,2127
200.3,2128
205.3,2134
210.3,2142
215.3,2142
220.3,2143
225.3,2159
230.3,2159
235.3,2163
240.3,2163
245.3,2168
250.3,2169
255.3,2169
260.3,2180
265.3,2209
270.3,2210
275.4,2223
280.4,2238
285.4,2245
290.4,2245
295.4,2245
300.1,2252
