elapsed_seconds,unique_branches
5.0,718
10.0,841
15.0,890
20.0,1005
25.0,1110
30.0,1180
35.0,1226
40.0,1278
45.0,1305
50.0,1331
55.0,1348
60.0,1399
65.0,1420
70.0,1440
75.0,1464
80.0,1491
85.0,1506
90.0,1525
95.0,1537
100.0,1566
105.1,1570
110.1,1590
115.1,1598
120.1,1618
125.1,1628
130.1,1641
135.1,1646
140.1,1661
145.1,1681
150.1,1688
155.1,1698
160.1,1703
165.1,1706
170.1,1709
175.1,1710
180.1,1716
185.1,1720
190.1,1733
195.1,1747
200.1,1750
205.1,1753
210.1,1757
215.1,1767
220.1,1774
225.1,1775
230.1,1775
235.1,1776
240.1,1777
245.1,1779
250.1,1779
255.1,1787
260.1,1801
265.1,1802
270.1,1812
275.1,1818
280.1,1821
285.1,1823
290.1,1825
295.1,1828
300.0,1836
