elapsed_seconds,unique_branches
5.0,197
10.0,197
15.0,214
20.0,214
25.0,214
30.0,220
35.0,220
40.0,220
45.0,220
50.0,220
55.0,222
60.0,222
65.0,231
70.0,231
75.0,231
80.0,231
85.0,231
90.0,231
95.0,231
100.0,231
105.0,231
110.0,231
115.0,231
120.0,231
125.1,231
130.1,248
135.1,248
140.1,248
145.1,248
150.1,248
155.1,248
160.1,248
165.1,248
170.1,248
175.1,248
180.1,248
185.1,248
190.1,248
195.1,248
200.1,248
205.1,248
210.1,248
215.1,248
220.1,248
225.1,248
230.1,249
235.1,249
240.1,249
245.1,249
250.1,249
255.1,249
260.1,249
265.1,249
270.1,249
275.1,249
280.1,249
285.1,249
290.1,249
295.1,249
300.0,249
