elapsed_seconds,unique_branches
5.0,371
10.0,376
15.0,391
20.0,392
25.0,392
30.0,392
35.0,392
40.0,392
45.0,392
50.0,392
55.0,394
60.0,395
65.0,395
70.0,397
75.0,397
80.0,397
85.0,397
90.0,397
95.0,397
100.0,397
105.0,397
110.0,397
115.0,397
120.0,397
125.1,398
130.1,398
135.1,398
140.1,398
145.1,398
150.1,398
155.1,398
160.1,398
165.1,398
170.1,398
175.1,398
180.1,398
185.1,398
190.1,398
195.1,398
200.1,398
205.1,398
210.1,398
215.1,400
220.1,400
225.1,400
230.1,402
235.1,402
240.1,402
245.1,402
250.1,402
255.1,402
260.1,402
265.1,402
270.1,402
275.1,402
280.1,402
285.1,402
290.1,402
295.1,402
300.0,402
