elapsed_seconds,error_code
0.1,error_70
0.2,error_49
0.2,error_1
0.5,error_90
0.5,error_34
0.6,error_23
0.8,error_10
0.8,error_75
0.9,error_35
1.1,error_37
1.2,error_71
1.2,error_48
1.3,error_74
1.3,error_68
1.4,error_3
1.8,error_31
1.9,error_87
5.2,error_30
12.5,error_72
53.9,error_16
213.1,error_82
226.9,error_52
