elapsed_seconds,error_code
1.4,error_66
1.7,error_69
2.2,error_96
2.4,error_37
3.5,error_61
3.9,error_2
7.3,error_99
7.5,error_12
10.3,error_53
11.2,error_78
13.0,error_35
16.9,error_0
18.2,error_11
24.9,error_19
25.0,error_97
31.9,error_25
39.4,error_76
52.3,error_46
54.3,error_23
93.5,error_56
103.4,error_72
114.2,error_86
164.1,error_85
181.6,error_50
184.3,error_31
194.4,error_51
211.6,error_22
247.6,error_63
251.2,error_95
289.7,error_79
